id	direction	kind	subject	source	terms	cand_n	matched	state	pair	target
f1a	forward	named	Renovation Canvas	canvas§1	renovation canvas	-	-	absent	-	requirements
f1b	forward	named	Renovation Canvas	canvas§1	renovation canvas	-	-	absent	-	deliverables
f2	forward	named	Property (pane)	canvas§3	property,pane	-	-	absent	-	components
f3	forward	named	Renovation Canvas (pane)	canvas§3	canvas,pane	-	docs/components/Plan canvas.md	present	-	components
f4	forward	named	Context Inspector	canvas§3	inspector,context inspector	-	docs/components/Inspector.md	present	-	components
f5	forward	named	Core Interaction Loop	canvas§4	interaction loop	-	-	absent	-	entities
f6	forward	named	Progressive Spatial Fidelity	canvas§5	spatial fidelity,progressive fidelity	-	-	absent	-	entities
f7	forward	named	Conceptual (fidelity level)	canvas§5	conceptual,fidelity level	-	-	absent	-	entities
f8	forward	named	Approximate (fidelity level)	canvas§5	approximate,fidelity level	-	-	absent	-	entities
f9	forward	named	Measured (fidelity level)	canvas§5	measured,fidelity level	-	-	absent	-	entities
f10	forward	named	Precision on Demand	canvas§6	precision on demand	-	-	absent	-	entities
f11	forward	named	Space	canvas§7	space	-	docs/entities/Space.md	present	-	entities
f12	forward	named	Work	canvas§7	work	-	-	absent	-	entities
f13	forward	named	Problem	canvas§7	problem	-	docs/entities/Issue.md	present	-	entities
f14	forward	named	Decision	canvas§7	decision	-	docs/entities/Decision.md	present	-	entities
f15	forward	named	Photo	canvas§7	photo	-	docs/entities/Photo.md	present	-	entities
f16	forward	named	Measurement	canvas§7	measurement	-	-	absent	-	entities
f17	forward	named	Material	canvas§7	material	-	docs/entities/Asset.md	present	-	entities
f18	forward	named	Product	canvas§7	product	-	docs/entities/Asset.md	present	-	entities
f19	forward	named	Trade	canvas§7	trade	-	docs/entities/Trade.md	present	-	entities
f20	forward	named	Document	canvas§7	document	-	docs/entities/Document.md	present	-	entities
f21	forward	named	Milestone	canvas§7	milestone	-	docs/entities/Milestone.md	present	-	entities
f22	forward	named	+ Add (control)	canvas§14	add,control	-	-	absent	-	components
f23	forward	named	Room	canvas§14	room	-	docs/entities/Space.md	present	-	entities
f24	forward	named	Outdoor Area	canvas§14	outdoor area	-	docs/entities/Outdoor area.md	present	-	entities
f25	forward	named	Renovation Zone	canvas§14	renovation zone,zone	-	docs/entities/Zone.md	present	-	entities
f26	forward	named	Note	canvas§14	note	-	-	absent	-	entities
f27	forward	named	Wall	canvas§14	wall	-	-	absent	-	entities
f28	forward	named	Door	canvas§14	door	-	-	absent	-	entities
f29	forward	named	Window	canvas§14	window	-	-	absent	-	entities
f30	forward	named	Task	canvas§15	task	-	docs/entities/Task.md	present	-	entities
f31	forward	named	Toolbar	canvas§16	toolbar	-	docs/components/Toolbar.md	present	-	components
f32	forward	named	Select (tool)	canvas§16	select tool	-	-	absent	-	components
f33	forward	named	Measure (tool)	canvas§16	measure tool	-	-	absent	-	components
f34	forward	named	Floor selector	canvas§16	floor selector,toolbar	-	-	absent	-	components
f35	forward	named	Selection Contract	canvas§17	selection contract	-	-	absent	-	entities
f36	forward	named	Progressive Refinement	canvas§19	progressive refinement	-	-	absent	-	entities
f37	forward	named	Zone	canvas§20	zone,renovation zone	-	docs/entities/Zone.md	present	-	entities
f38	forward	named	Semantic Layers	canvas§21	semantic layer	-	-	absent	-	entities
f39	forward	named	Property (layer)	canvas§21	property,layer	-	docs/entities/Site.md	present	-	entities
f40	forward	named	Renovation (layer)	canvas§21	renovation,layer	-	-	absent	-	entities
f41	forward	named	Work (layer)	canvas§21	work,layer	-	-	absent	-	entities
f42	forward	named	Problems (layer)	canvas§21	problem,layer	-	-	absent	-	entities
f43	forward	named	Decisions (layer)	canvas§21	decision,layer	-	docs/entities/Decision.md	present	-	entities
f44	forward	named	Materials (layer)	canvas§21	material,layer	-	-	absent	-	entities
f45	forward	named	Costs (layer)	canvas§21	cost,layer	-	-	absent	-	entities
f46	forward	named	Schedule (layer)	canvas§21	schedule,layer	-	-	absent	-	entities
f47	forward	named	Photos (layer)	canvas§21	photo,layer	-	docs/entities/Photo.md	present	-	entities
f48a	forward	named	Cost View	canvas§22	cost view	-	-	absent	-	requirements
f48b	forward	named	Cost View	canvas§22	cost view	-	-	absent	-	deliverables
f49a	forward	named	Progress View	canvas§23	progress view	-	-	absent	-	requirements
f49b	forward	named	Progress View	canvas§23	progress view	-	-	absent	-	deliverables
f50a	forward	named	Problem View	canvas§24	problem view	-	-	absent	-	requirements
f50b	forward	named	Problem View	canvas§24	problem view	-	-	absent	-	deliverables
f51a	forward	named	Phase / Schedule View	canvas§25	phase view,schedule view	-	-	absent	-	requirements
f51b	forward	named	Phase / Schedule View	canvas§25	phase view,schedule view	-	-	absent	-	deliverables
f52	forward	named	Existing (phase)	canvas§25	existing,phase	-	-	absent	-	entities
f53	forward	named	Demolition (phase)	canvas§25	demolition,phase	-	-	absent	-	entities
f54	forward	named	Rough-in (phase)	canvas§25	rough-in,phase	-	-	absent	-	entities
f55	forward	named	Build (phase)	canvas§25	build,phase	-	-	absent	-	entities
f56	forward	named	Finish (phase)	canvas§25	finish,phase	-	-	absent	-	entities
f57	forward	named	Complete (phase)	canvas§25	complete,phase	-	-	absent	-	entities
f58	forward	named	Existing (model state)	canvas§26	existing	-	-	absent	-	entities
f59	forward	named	Planned (model state)	canvas§26	planned	-	-	absent	-	entities
f60	forward	named	Actual (model state)	canvas§26	actual	-	-	absent	-	entities
f61	forward	named	Guidance	canvas§29	guidance	-	-	absent	-	entities
f62a	forward	named	Obsidian Command Palette	canvas§30	command palette,obsidian	-	-	absent	-	requirements
f62b	forward	named	Obsidian Command Palette	canvas§30	command palette,obsidian	-	-	absent	-	deliverables
f63a	forward	named	Renovation Planner: Add Room (command)	canvas§30	command,add room	-	-	absent	-	requirements
f63b	forward	named	Renovation Planner: Add Room (command)	canvas§30	command,add room	-	-	absent	-	deliverables
f64a	forward	named	Renovation Planner: Add Work (command)	canvas§30	command,add work	-	-	absent	-	requirements
f64b	forward	named	Renovation Planner: Add Work (command)	canvas§30	command,add work	-	-	absent	-	deliverables
f65a	forward	named	Renovation Planner: Add Problem (command)	canvas§30	command,add problem	-	-	absent	-	requirements
f65b	forward	named	Renovation Planner: Add Problem (command)	canvas§30	command,add problem	-	-	absent	-	deliverables
f66a	forward	named	Renovation Planner: Add Decision (command)	canvas§30	command,add decision	-	-	absent	-	requirements
f66b	forward	named	Renovation Planner: Add Decision (command)	canvas§30	command,add decision	-	-	absent	-	deliverables
f67a	forward	named	Renovation Planner: Add Photo (command)	canvas§30	command,add photo	-	-	absent	-	requirements
f67b	forward	named	Renovation Planner: Add Photo (command)	canvas§30	command,add photo	-	-	absent	-	deliverables
f68a	forward	named	Renovation Planner: Measure (command)	canvas§30	command,measure	-	-	absent	-	requirements
f68b	forward	named	Renovation Planner: Measure (command)	canvas§30	command,measure	-	-	absent	-	deliverables
f69a	forward	named	Renovation Planner: Open Budget (command)	canvas§30	command,budget	-	-	absent	-	requirements
f69b	forward	named	Renovation Planner: Open Budget (command)	canvas§30	command,budget	-	-	absent	-	deliverables
f70	forward	behavioural	Renovation Canvas is a spatial project workspace that connects renovation work, costs, problems, decisions, materials and evidence directly to the places they affect	canvas§1	canvas,workspace,work,cost,problem,decision,material,evidence	181	docs/requirements/Zones and spatial objects.md::Body[1]	present	-	-
f71	forward	behavioural	The canvas is framed as a renovation workspace with spatial editing capabilities, not primarily a floor-plan editor with project-management features	canvas§1	canvas,floor plan,workspace	58	docs/entities/Zone.md::Body[1]	present	-	-
f72	forward	behavioural	Design principle: start with intent and add precision only when precision becomes valuable	canvas§1	intent,precision	14	-	absent	-	-
f73	forward	behavioural	The product's mental model maps WHERE+WHAT+WHAT NEXT to PROPERTY+CANVAS+CONTEXT INSPECTOR	canvas§2	property,canvas,inspector,mental model	81	docs/deliverables/Design System.md::Component inventory[1]	present	-	-
f74	forward	behavioural	The UI is organized into three panes -- Property, Canvas, Inspector -- each answering a distinct question: where am I, what is happening here, what should I do next	canvas§3	property,canvas,inspector,pane	83	docs/deliverables/Design System.md::Component inventory[1]	present	-	-
f75	forward	behavioural	The core interaction loop is select context, capture intent, add information, refine when needed, execute/observe, update reality	canvas§4	interaction loop,context,intent	23	-	absent	-	-
f76	forward	behavioural	The same interaction loop applies across both planning and execution	canvas§4	interaction loop,planning,execution	29	-	absent	-	-
f77	forward	behavioural	At the Conceptual fidelity level, no measurements or drawing are required; work, costs, photos, problems and decisions can already be attached	canvas§5	conceptual,work,cost,photo,problem,decision	168	docs/requirements/Cost types.md::Outcome[1]	present	-	-
f78	forward	behavioural	At the Approximate fidelity level, users position/resize spaces and establish approximate adjacency without needing accuracy	canvas§5	approximate,space,adjacency	90	docs/business-rules/An uncalibrated plan never presents a measurement as true.md::Rule[1]	present	-	-
