finding_id	verdict	sections_read	finding
c1	none	PRD §93	Disclosure ladder correctly characterizes PRD §93 as a one-time cold-install sequence (Install→Create Project→...→Create First Zone), so its claim that the home surface is asked every session, not just at onboarding, follows from what §93 says; the clash is between workspace PRD §3's project-first vision and the original material, not a mis-derivation.
c2	none	PRD §58; PRD §72; SDD §47	"Nothing here spans two projects... there is no portfolio" follows directly from §58's tree (Project is the sole root; one Site branch), §72 (currency defined once per project) and SDD §47 (index keyed "project ID -> entity IDs", scoped to one project); workspace PRD §8's new "Project Selection" top-level context is new evidence, not a drift in this note.
c3	none	PRD §58; SDD §47	"The Project is the root of the relationship model (§58) and the project index (SDD §47) is scoped to one. A portfolio view is a second root" restates those two sources almost verbatim; the conflict is with workspace PRD §10's Epic 1 "Renovation Planner Home" (project listing, multiple projects), a new requirement absent from the cited sources.
c4	none	SDD §11	Row 1 ("Renovation Project | Workspace view | SDD §11 primary | ... | yes") matches SDD §11 verbatim, which names "Renovation Project" as a primary workspace view; workspace PRD §13's multi-tab in-project navigation (Overview/Spaces/Design/Work/Budget/Schedule/Documentation) is new content the inventory was never built from.
c5	none	PRD §5	Rung 3's contents ("Construction section, Trade, Work package, Task") map exactly onto PRD §5's steps 5, 7, 8 and 11 (Define Construction Sections, Assign Trades, Create Work Packages, Create Tasks), which is what the rung table cites; workspace PRD §17 groups trades/work packages into "Advanced Planning" instead, a different progressive-disclosure model from a different document.
c6	none	PRD §3.5; PRODUCT.md (cited inline)	Item 4 is explicitly framed as an open, unresolved question ("Whether that renovator exists is a product question, and PRODUCT.md confirms there is no real user to ask"), grounded in rung 1's PRD §3.5 basis; it concedes the tension rather than asserting an answer, so workspace PRD §20.5 settles a question the note already flagged as open rather than contradicting a claim.
c7	none	PRD §94	"One action, not several" elaborates §94's one-sentence "actionable empty states" requirement into a concrete design rule; §94 is silent on action count rather than contradicting a single-action rule. Workspace PRD §24's two-button "No Spaces" example is a new design decision from a different document, not evidence the note misread §94.
c23	none	PRD §6; PRD §58	The entity name "Outdoor area" is a direct, conventional rendering of the "OutdoorArea" node shown under Site in §6's and §58's domain-model diagrams; workspace PRD Feature 2.4 instead lists "garden, terrace" as instances of plain "spaces," which is new evidence, not a mis-derivation of §6/§58.
c24	none	PRD §58	"Belongs to exactly one [[Site]]" matches §58's canonical tree, where Site branches into Building and OutdoorArea; workspace PRD §19's spatial hierarchy puts Garden/Garage directly under Project with no Site layer at all, a different (newer) model.
c25	none	PRD §58; PRD §59	"Owns at most one [[Site]]" reads the single Site node in §58's tree together with §59's explicit "0..n" cardinalities for Plan/Construction Section/etc. (Site is the one child never given a 0..n); workspace PRD §19 removes the Site layer entirely, which is new structure, not a misreading of §58/§59.
c26	none	PRD §58; PRD §79	"A set of views onto one site... the site and not the plan is what they share" combines §79's list of plan types (site plan, basement, floors, garden, garage) with §58's Site entity that unifies Building/OutdoorArea; a reasonable synthesis of both cited sections, not contradicted by either. Workspace PRD §19's Site-less hierarchy is the actual source of the conflict.
c28	none	PRD §6; PRD §58	"Space" is a direct rendering of the "Space" leaf node under Building -> Floor in §6's and §58's domain-model diagrams; workspace PRD Feature 5.2 ("Space Detail") instead groups kitchen/bathroom with garden/terrace/garage as flat "spaces," collapsing a distinction the cited sources draw, but that collapse is the workspace PRD's move, not this note's.
c38	none	PRD §4	Paragraph 1 ("small contractors, interior designers... §4 names them a future persona and says plainly they are not part of the MVP") is a near-verbatim restatement of PRD §4's "Future Persona - Professional Planner ... These are not part of the initial MVP"; workspace PRD §6.3 promotes this same persona to an in-scope "Secondary Persona," which is new positioning, not a misreading of §4.
c39	none	PRD §60; SDD §8	"Do not take a decision that would be impossible to revisit... §60's identity model and the layering in SDD §8 are the two that matter most" cites real, load-bearing decisions (stable entity IDs independent of filename/path; the presentation->application->domain->core dependency rule) that the note reasons from without contradicting; the underlying tension is again workspace PRD §6.3's persona promotion.
c47	none	(no specific citation - honestly scoped as unsettled)	Precondition 2 states the single-project starting scenario for this specific use case and explicitly says "none of them are settled anywhere in this register" rather than asserting vault-wide cardinality is fixed at one; workspace PRD §35 Slice 1 ("A user can create and reopen multiple renovation projects") is the first document to answer a question this note honestly left open, so it is new evidence, not a drift.
c48	none	PRD §35	"status defaults to IDEA" is drawn directly from the original PRD §35 Renovation Lifecycle diagram, whose first state is IDEA; workspace PRD §9 defines an incompatible lifecycle (New -> Planning -> Ready -> In Progress -> Completing -> Completed -> Archived), a genuinely different received document, not a misreading of §35.
c49	none	PRD §58; PRD §59; PRD §72; SDD §47	Same derived paragraph as c2 and the same verdict, against different evidence: "It is a root rather than a container... there is no portfolio" is grounded in §58's relationship model, §59's 0..n cardinalities, §72 (currency defined once per project) and SDD §47 (index scoped to one project), all four of which Project.md lists as its own sources. Workspace PRD §34 puts "cross-project dashboards" in Post-MVP Scope, which is new evidence about a second root the note already names as a change [[Professional planner]] would force - not a drift in this note.
